id,fopt,freq,fts,machine,memory,natoms,nbasis,nproc,popt,sp,runtime
dh1t25.comet.sdsc.xsede.org.562301.150525,0,1,1,3,1000,24,217,4,0,0,7663
mx12.gordon.sdsc.edu.2052535.150514,1,0,0,2,8000,43,411,16,0,0,219749
mu46.comet.sdsc.xsede.org.673440.150707,1,0,0,3,8000,66,652,16,0,0,454962
AMg1d3_m.comet.sdsc.xsede.org.596764.150614,1,1,0,3,16000,51,590,16,0,0,105843
k_b.comet.sdsc.xsede.org.752526.150808,0,0,0,3,16000,45,495,8,0,1,729
mu2.trestles.sdsc.teragrid.org.2571508.150408,1,0,0,1,8000,32,104,16,0,0,10671
dh4tr2sf.comet.sdsc.xsede.org.595977.150613,0,1,0,3,1000,15,121,16,0,0,320
dh1tt1opt.comet.sdsc.xsede.org.613689.150625,0,1,1,3,1000,24,221,16,0,0,3442
dh2tt1irc.comet.sdsc.xsede.org.644400.150702,0,0,0,0,1000,27,240,16,0,0,115889
re3w.comet.sdsc.xsede.org.682840.150712,1,1,0,3,9000,40,591,16,0,0,378865
na5_hf_t.trestles.sdsc.teragrid.org.2575251.150413,1,0,0,1,5000,7,560,10,0,0,353618
mm26.comet.sdsc.xsede.org.515963.150429,1,0,0,3,8000,58,684,16,0,0,204990
kn1.comet.sdsc.xsede.org.689753.150715,1,0,0,3,8000,47,561,16,0,0,136794
ms94.gordon.sdsc.edu.2048725.150513,1,1,0,2,8000,32,425,16,0,0,32774
na4fn_qz.comet.sdsc.xsede.org.555981.150520,0,1,0,3,5000,6,480,16,0,0,411228
default_job.comet.sdsc.xsede.org.821144.150820,1,0,0,3,500,3,19,1,0,0,2
yu2strans.comet.sdsc.xsede.org.760086.150811,1,1,0,3,8000,19,291,16,0,0,14220
n37.comet.sdsc.xsede.org.1265448.151113,1,0,0,3,1000,7,292,16,0,0,10511
mb24.comet.sdsc.xsede.org.553544.150519,1,0,0,3,8000,41,441,16,0,0,181104
rs1a.trestles.sdsc.teragrid.org.2542904.150315,1,1,0,1,8000,39,325,4,0,0,21447
TSadd1-H2O-1hfd3.trestles.sdsc.teragrid.org.2580805.150418,0,1,0,1,16000,13,422,16,0,0,948668
